"","Date","Open","High","Low","Close","Adj Close","Volume","""t1""","""t2""","""t3""","""t4""","""t5"""
"104",2012-09-26,23.883572,24.024643,23.614286,23.75643,20.337349,576503200,"0","0","1","1","0"
"105",2012-09-27,23.724644,24.363214,23.583929,24.332857,20.830822,594090000,"0","1","0","1","0"
"106",2012-09-28,24.241072,24.325357,23.8125,23.825001,20.396048,535110800,"1","0","0","0","1"
"107",2012-10-01,23.969999,24.169643,23.446428,23.549643,20.160326,543594800,"1","0","1","0","1"
"108",2012-10-02,23.63607,23.798214,23.237499,23.618214,20.219032,627992400,"1","1","1","1","1"
"109",2012-10-03,23.745001,23.995001,23.665358,23.980356,20.529043,424281200,"0","1","0","1","0"
"110",2012-10-04,23.973213,24.080357,23.769644,23.814285,20.386879,370725600,"0","0","0","0","0"
"111",2012-10-05,23.757143,23.785713,23.26,23.306786,19.952423,594006000,"0","0","0","0","0"
"112",2012-10-08,23.102858,23.127144,22.718214,22.791786,19.511539,637994000,"1","0","0","0","1"
"113",2012-10-09,22.808929,22.874643,22.269644,22.708929,19.440609,838597200,"1","1","1","1","1"
"114",2012-10-10,22.847857,23.035,22.75,22.889643,19.595312,510356000,"1","1","0","0","1"
"115",2012-10-11,23.089287,23.114286,22.432142,22.432142,19.203659,546081200,"1","0","1","0","1"
"116",2012-10-12,22.484285,22.692142,22.332144,22.489643,19.25288,460014800,"1","1","1","1","1"
"117",2012-10-15,22.583929,22.683214,22.280357,22.67,19.407282,432502000,"1","1","1","1","1"
"118",2012-10-16,22.691786,23.225,22.535713,23.206785,19.866816,549771600,"0","1","0","1","0"
"119",2012-10-17,23.173929,23.313929,23,23.021786,19.708439,389037600,"0","0","0","0","0"
"120",2012-10-18,22.842501,22.930714,22.5,22.594286,19.342464,476624400,"0","0","0","0","0"
"121",2012-10-19,22.5375,22.563213,21.772142,21.780001,18.645376,744086000,"1","0","1","1","1"
"122",2012-10-22,21.872143,22.692142,21.812857,22.643929,19.384964,546730800,"0","1","0","1","0"
"123",2012-10-23,22.535713,22.639286,21.84643,21.905714,18.752991,707145600,"1","0","1","0","1"
"124",2012-10-24,22.194286,22.376785,21.808571,22.029642,18.859091,558527200,"1","0","0","0","1"
"125",2012-10-25,22.142857,22.214287,21.626785,21.769285,18.636198,656325600,"0","0","0","0","0"
"126",2012-10-26,21.765356,21.928572,21.107143,21.571428,18.466818,1018432800,"0","0","0","0","0"
"127",2012-10-31,21.245714,21.498571,20.989286,21.261429,18.201439,510003200,"1","1","1","1","1"
"128",2012-11-01,21.365,21.535713,21.220358,21.305,18.238741,361298000,"0","0","0","0","0"
"129",2012-11-02,21.281786,21.319643,20.526787,20.6,17.635204,599373600,"1","0","1","0","1"
"130",2012-11-05,20.84,20.991785,20.628571,20.879286,17.874292,529135600,"1","1","0","0","1"
"131",2012-11-06,21.079643,21.097857,20.717501,20.816071,17.820173,374917200,"0","0","0","0","0"
"132",2012-11-07,20.494286,20.519285,19.848213,19.928572,17.138332,793648800,"1","0","0","0","1"
"133",2012-11-08,20.022499,20.079643,19.1175,19.205357,16.516375,1056146000,"1","0","1","0","1"
"134",2012-11-09,19.300714,19.817142,19.061428,19.537857,16.80232,929913600,"1","1","0","1","1"
"135",2012-11-12,19.791071,19.803572,19.237499,19.386786,16.672398,515802000,"0","0","1","0","0"
"136",2012-11-13,19.246786,19.66,19.155714,19.389286,16.674543,532949200,"1","1","0","0","1"
"137",2012-11-14,19.482143,19.551786,19.149286,19.174286,16.489651,477170400,"1","0","0","0","1"
"138",2012-11-15,19.1975,19.267857,18.665001,18.772142,16.14381,789910800,"0","0","1","0","0"
"139",2012-11-16,18.757143,18.928572,18.0625,18.845715,16.207083,1266893600,"1","1","1","1","1"
"140",2012-11-19,19.311071,20.267857,19.281429,20.204643,17.375746,823317600,"1","1","0","1","1"
"141",2012-11-20,20.425358,20.426786,19.806429,20.032499,17.227705,642754000,"1","0","1","0","1"
"142",2012-11-21,20.151787,20.263214,19.878571,20.060715,17.251966,373002000,"1","1","1","1","1"
"143",2012-11-23,20.256071,20.428572,20.092857,20.410713,17.552971,272826400,"1","1","1","1","1"
"144",2012-11-26,20.567858,21.071428,20.489643,21.054644,18.106737,630579600,"1","1","0","1","1"
"145",2012-11-27,21.055357,21.08643,20.717857,20.885,17.960848,533330000,"0","0","0","0","0"
"146",2012-11-28,20.616785,20.921429,20.437857,20.819286,17.904337,520864400,"1","1","1","1","1"
"147",2012-11-29,21.079287,21.223213,20.901787,21.048571,18.101517,514698800,"0","0","0","0","0"
"148",2012-11-30,20.956785,21.014286,20.809999,20.902857,17.976202,391319600,"1","1","1","0","1"
"149",2012-12-03,21.201786,21.235357,20.910713,20.935356,18.004154,364280000,"0","0","0","0","0"
"150",2012-12-04,20.77857,20.77857,20.433214,20.566071,17.686569,557068400,"0","0","0","0","0"
"151",2012-12-05,20.318214,20.330357,19.241785,19.2425,16.548311,1044638000,"0","0","1","0","0"
"152",2012-12-06,18.890715,19.76107,18.522499,19.544287,16.807842,1177212400,"1","1","0","1","1"
"153",2012-12-07,19.764286,19.828571,18.928572,19.044643,16.378164,787040800,"0","0","0","0","0"
"154",2012-12-10,18.75,19.2325,18.627857,18.922144,16.272816,630484400,"1","1","1","1","1"
"155",2012-12-11,19.2775,19.627144,19.191786,19.335358,16.628174,592345600,"1","1","0","0","1"
"156",2012-12-12,19.563213,19.571428,19.1525,19.25,16.554766,487144000,"0","0","0","0","0"
"157",2012-12-13,18.969643,19.201429,18.77857,18.9175,16.268814,625259600,"0","0","0","0","0"
"158",2012-12-14,18.383928,18.504642,18.056429,18.206785,15.657615,1009579200,"0","0","1","1","0"
"159",2012-12-17,18.176071,18.571428,17.901072,18.529642,15.935265,757607200,"1","1","1","1","1"
"160",2012-12-18,18.75,19.103571,18.580357,19.067858,16.398121,625685200,"0","1","0","1","0"
"161",2012-12-19,18.981071,19.060715,18.767857,18.796785,16.16501,449369200,"1","0","0","0","1"
"162",2012-12-20,18.928572,18.935715,18.531429,18.633215,16.024343,481689600,"0","0","0","0","0"
"163",2012-12-21,18.3025,18.559643,18.222857,18.547501,15.950624,596268400,"1","1","1","1","1"
"164",2012-12-24,18.583929,18.723213,18.525356,18.577499,15.976426,175753200,"0","0","0","0","0"
"165",2012-12-26,18.535713,18.552143,18.254286,18.321428,15.7562,302436400,"1","0","1","0","1"
"166",2012-12-27,18.340714,18.4375,18.023571,18.395,15.819477,455120400,"0","0","0","0","0"
"167",2012-12-28,18.224644,18.374287,18.147142,18.199642,15.651472,354278400,"1","1","1","1","1"
"168",2012-12-31,18.233213,19.121429,18.178572,19.006071,16.344994,659492400,"1","1","1","1","1"
"169",2013-01-02,19.779285,19.821428,19.343929,19.608213,16.862822,560518000,"0","0","0","0","0"
"170",2013-01-03,19.567142,19.631071,19.321428,19.360714,16.649977,352965200,"0","0","0","0","0"
"171",2013-01-04,19.1775,19.236786,18.779642,18.821428,16.186201,594333600,"0","0","0","0","0"
"172",2013-01-07,18.642857,18.90357,18.4,18.710714,16.090982,484156400,"1","1","1","1","1"
"173",2013-01-08,18.900356,18.996071,18.616072,18.76107,16.134293,458707200,"0","0","0","0","0"
"174",2013-01-09,18.660713,18.750357,18.428213,18.467857,15.882129,407604400,"1","1","1","1","1"
"175",2013-01-10,18.876785,18.882856,18.411428,18.696787,16.079012,601146000,"0","0","0","0","0"
"176",2013-01-11,18.607143,18.761429,18.536428,18.582144,15.980415,350506800,"0","0","0","0","0"
"177",2013-01-14,17.952856,18.125,17.803928,17.919643,15.410671,734207600,"0","0","0","0","0"
"178",2013-01-15,17.796429,17.821072,17.263571,17.354286,14.924476,876772400,"1","0","1","1","1"
"179",2013-01-16,17.665714,18.194286,17.589287,18.074642,15.543968,690804800,"1","1","0","1","1"
"180",2013-01-17,18.225357,18.241072,17.929644,17.952856,15.439234,453678400,"0","0","0","0","0"
"181",2013-01-18,17.804285,17.936428,17.728571,17.857143,15.356922,472922800,"1","1","1","1","1"
"182",2013-01-22,18.02,18.138571,17.736786,18.0275,15.503434,461546400,"1","1","1","1","1"
"183",2013-01-23,18.171785,18.3925,18.0275,18.3575,15.787226,861509600,"0","0","0","0","0"
"184",2013-01-24,16.428572,16.633215,16.080357,16.089287,13.836589,1460852400,"1","0","0","0","1"
"185",2013-01-25,16.131786,16.293928,15.535714,15.71,13.510409,1208026400,"0","0","1","0","0"
"186",2013-01-28,15.636786,16.186071,15.566429,16.065357,13.81601,785517600,"1","1","1","1","1"
"187",2013-01-29,16.375,16.435715,16.147142,16.366785,14.075233,571158000,"0","0","0","0","0"
"188",2013-01-30,16.321428,16.521429,16.232143,16.315357,14.031009,417155200,"1","0","0","0","1"
"189",2013-01-31,16.320715,16.402857,16.249287,16.2675,13.98985,319334400,"1","1","0","0","1"
"190",2013-02-01,16.396786,16.41,16.012501,16.200714,13.932417,539484400,"1","0","0","0","1"
"191",2013-02-04,16.211071,16.283571,15.785714,15.797143,13.585351,477117200,"1","0","1","1","1"
"192",2013-02-05,15.858929,16.419287,15.793571,16.351429,14.062029,573347600,"0","1","0","1","0"
"193",2013-02-06,16.3025,16.660713,16.16357,16.333929,14.04698,593706400,"1","1","1","1","1"
"194",2013-02-07,16.544643,16.785713,16.218571,16.722143,14.464649,704580800,"1","1","1","1","1"
"195",2013-02-08,16.928572,17.100357,16.723213,16.963572,14.673483,633158400,"1","1","1","1","1"
"196",2013-02-11,17.017857,17.319286,16.901787,17.140356,14.826402,517490400,"0","1","0","0","0"
"197",2013-02-12,17.125357,17.227858,16.705,16.710714,14.454761,609053200,"0","0","0","0","0"
"198",2013-02-13,16.686071,16.915714,16.543571,16.678928,14.42727,475207600,"0","0","0","0","0"
"199",2013-02-14,16.59,16.844286,16.572144,16.663929,14.4143,355275200,"1","1","0","0","1"
"200",2013-02-15,16.744642,16.79143,16.425714,16.434286,14.215654,391745200,"1","0","0","0","1"
"201",2013-02-19,16.467857,16.526072,16.208929,16.428213,14.210402,435783600,"0","0","0","0","0"
"202",2013-02-20,16.346071,16.346071,16.02857,16.030357,13.866257,476302400,"0","0","0","0","0"
"203",2013-02-21,15.928571,16.041786,15.815,15.930714,13.780063,447182400,"1","1","1","1","1"
"204",2013-02-22,16.044643,16.128571,15.95,16.100357,13.926807,330654800,"1","1","0","0","1"
"205",2013-02-25,16.208929,16.254286,15.806071,15.814286,13.679356,372579200,"1","0","1","0","1"
"206",2013-02-26,15.850714,16.126429,15.630714,16.034643,13.869964,501499600,"0","1","0","1","0"
"207",2013-02-27,16.015356,16.158571,15.7375,15.8775,13.734035,587350400,"0","0","0","0","0"
"208",2013-02-28,15.858929,15.995357,15.764286,15.764286,13.636104,322515200,"0","0","0","0","0"
"209",2013-03-01,15.642857,15.649286,15.356429,15.373929,13.298444,552448400,"0","0","0","0","0"
"210",2013-03-04,15.278571,15.292857,14.964286,15.001786,12.976542,582755600,"1","0","1","1","1"
"211",2013-03-05,15.052857,15.5425,15.026786,15.397857,13.319141,638433600,"1","1","0","1","1"
"212",2013-03-06,15.518214,15.544643,15.158214,15.202143,13.149849,460250000,"0","0","1","0","0"
"213",2013-03-07,15.160714,15.428929,15.037857,15.377857,13.301843,468473600,"0","1","1","1","0"
"214",2013-03-08,15.35,15.551071,15.3075,15.418571,13.337061,391482000,"0","0","1","1","0"
"215",2013-03-11,15.348214,15.678929,15.183571,15.638214,13.527051,474236000,"0","1","0","0","0"
"216",2013-03-12,15.557143,15.674286,15.270357,15.301071,13.235424,465911600,"1","0","0","0","1"
"217",2013-03-13,15.301786,15.517857,15.191429,15.298214,13.232952,405549200,"1","1","1","1","1"
"218",2013-03-14,15.458214,15.522857,15.373214,15.446429,13.361158,303875600,"1","1","1","1","1"
"219",2013-03-15,15.640357,15.865357,15.616071,15.845,13.705926,643960800,"0","1","1","1","0"
"220",2013-03-18,15.766071,16.337856,15.757143,16.275715,14.078487,606197200,"1","1","0","1","1"
"221",2013-03-19,16.410713,16.463215,16.017857,16.231787,14.040492,526775200,"1","0","0","0","1"
"222",2013-03-20,16.33643,16.343929,16.056786,16.145714,13.966041,308660800,"0","0","1","0","0"
"223",2013-03-21,16.079287,16.356428,16.075001,16.168928,13.986119,383255600,"1","1","1","1","1"
"224",2013-03-22,16.235001,16.503571,16.182501,16.496786,14.269714,395105200,"1","1","1","1","1"
"225",2013-03-25,16.596071,16.78393,16.492144,16.556429,14.321308,501135600,"1","1","0","0","1"
"226",2013-03-26,16.622856,16.637142,16.4475,16.469286,14.245934,294294000,"0","0","0","0","0"
"227",2013-03-27,16.302143,16.314285,16.0975,16.145714,13.966041,331237200,"0","0","0","0","0"
"228",2013-03-28,16.065001,16.136429,15.772143,15.809286,13.67503,442839600,"0","0","0","0","0"
"229",2013-04-01,15.782143,15.846429,15.276429,15.318214,13.250253,389732000,"0","0","1","0","0"
"230",2013-04-02,15.271429,15.647857,15.228571,15.349643,13.27744,529519200,"1","1","1","1","1"
"231",2013-04-03,15.406071,15.617143,15.368214,15.428214,13.345403,363216000,"1","1","0","0","1"
"232",2013-04-04,15.491429,15.535714,15.1875,15.275714,13.21349,358447600,"0","0","0","0","0"
"233",2013-04-05,15.160714,15.176786,14.988571,15.114286,13.073855,383695200,"1","1","1","1","1"
"234",2013-04-08,15.173214,15.267857,15.088929,15.221786,13.166844,300829200,"1","1","1","1","1"
"235",2013-04-09,15.227143,15.303571,15.098214,15.249286,13.190629,306614000,"1","1","1","1","1"
"236",2013-04-10,15.289286,15.609286,15.214643,15.560357,13.459706,375928000,"0","1","0","1","0"
"237",2013-04-11,15.49,15.6425,15.4,15.511786,13.417694,328364400,"0","1","0","0","0"
"238",2013-04-12,15.505357,15.505357,15.324643,15.35,13.277746,238613200,"0","0","0","0","0"
"239",2013-04-15,15.25,15.281786,14.983929,14.994643,12.970364,317520000,"1","0","1","0","1"
"240",2013-04-16,15.056071,15.236071,15.020357,15.222857,13.167768,305771200,"0","0","0","0","0"
"241",2013-04-17,15.009643,15.021429,14.218214,14.385714,12.443639,945056000,"1","0","0","0","1"
"242",2013-04-18,14.463929,14.4925,13.919286,14.001786,12.111542,666299200,"0","0","0","0","0"
"243",2013-04-19,13.856071,14.271429,13.753571,13.9475,12.064584,609274400,"1","1","1","1","1"
"244",2013-04-22,14.022857,14.364286,13.973929,14.238214,12.316049,429920400,"1","1","1","1","1"
"245",2013-04-23,14.428214,14.585,14.243214,14.504643,12.546515,664238400,"0","0","0","1","0"
"246",2013-04-24,14.055,14.830357,14.017857,14.480714,12.525812,969651200,"1","1","1","1","1"
"247",2013-04-25,14.686786,14.783571,14.535714,14.585,12.616023,384837600,"1","0","1","1","1"
"248",2013-04-26,14.636071,14.956071,14.580357,14.9,12.888496,764097600,"1","1","1","1","1"
"249",2013-04-29,15.016071,15.486429,15,15.361429,13.287635,640326400,"1","1","1","1","1"
"250",2013-04-30,15.539286,15.901786,15.431071,15.813571,13.67874,691538400,"1","1","0","1","1"
"251",2013-05-01,15.873571,15.890357,15.513929,15.688929,13.570923,506909200,"1","0","1","1","1"
"252",2013-05-02,15.777857,16.02107,15.736786,15.911429,13.76338,421828400,"1","1","1","1","1"
"253",2013-05-03,16.118214,16.186787,16.041071,16.070715,13.901167,361300800,"1","1","1","1","1"
"254",2013-05-06,16.275356,16.507143,16.225357,16.45393,14.232648,496641600,"1","1","0","1","1"
"255",2013-05-07,16.606071,16.633928,16.203571,16.380714,14.169317,483753200,"1","0","1","0","1"
"256",2013-05-08,16.394285,16.620358,16.278929,16.565714,14.329338,472598000,"0","1","0","0","0"
"257",2013-05-09,16.421785,16.535713,16.270714,16.313213,14.204331,398487600,"1","0","0","0","1"
"258",2013-05-10,16.356071,16.418215,16.088572,16.1775,14.08616,334852000,"0","0","1","0","0"
"259",2013-05-13,16.125357,16.353571,16.125,16.240713,14.141202,316948800,"0","1","0","0","0"
"260",2013-05-14,16.208929,16.257143,15.791071,15.852143,13.802863,447118000,"0","0","0","0","0"
"261",2013-05-15,15.684286,15.75,15.084286,15.316071,13.336094,741613600,"0","0","1","0","0"
"262",2013-05-16,15.115714,15.6375,14.960714,15.520714,13.514277,603204000,"1","1","0","1","1"
"263",2013-05-17,15.680357,15.7175,15.393214,15.473571,13.473233,427904400,"0","0","1","1","0"
"264",2013-05-20,15.425357,15.921429,15.360714,15.818929,13.773944,451578400,"0","1","0","1","0"
"265",2013-05-21,15.648214,15.91,15.507143,15.702143,13.672256,456022000,"1","1","1","1","1"
"266",2013-05-22,15.858929,16.012501,15.650714,15.7625,13.724805,443038400,"0","0","1","0","0"
"267",2013-05-23,15.569643,15.934286,15.563929,15.790714,13.749372,353021200,"0","1","1","1","0"
"268",2013-05-24,15.744643,15.916429,15.727143,15.898214,13.842978,276166800,"1","1","0","1","1"
"269",2013-05-28,16.067858,16.111071,15.744643,15.765714,13.727606,386145200,"0","0","1","0","0"
"270",2013-05-29,15.714286,15.982143,15.692857,15.891071,13.836761,330576400,"1","1","1","1","1"
